filepath,filehash,filesize
X00TD/ten/PixysOS-v3.1.2-GAPPS-X00TD-OFFICIAL-20200809-115031.zip,c1055b90ab4350d0ed6a7362364bc234,1179778835
ginkgo/ten/PixysOS-v3.1.2-ginkgo-OFFICIAL-20200805-162802.zip,a5b1fb6b52bcee3c72bc986df0e01b87,845614730
ginkgo/ten/PixysOS-v3.1.2-GAPPS-ginkgo-OFFICIAL-20200805-154613.zip,070a19b5725f285040b5bfc6e3daf267,1398615589
ginkgo/ten/PixysOS-v3.1.1-ginkgo-OFFICIAL-20200718-200121.zip,0562b926225cca391cafe6729a8a0c01,845641730
ginkgo/ten/PixysOS-v3.1.1-GAPPS-ginkgo-OFFICIAL-20200718-004329.zip,4262ba16b3be6fa5e18e423cbb8bf1b3,1398149845
mido/ten/PixysOS-v3.1.0-GAPPS-mido-OFFICIAL-20200606-145232.zip,01619fdc04aa783a5e626d3b382ef07b,1128783159
mido/ten/PixysOS-v3.1.0-mido-OFFICIAL-20200606-115512.zip,889d67b4f7dc93644df15b83a589806e,611791206
riva/ten/PixysOS-v3.1.0-riva-OFFICIAL-20200603-191301.zip,254a2d83137ba081c5c37c7477e978c2,604565629
riva/ten/PixysOS-v3.1.0-GAPPS-riva-OFFICIAL-20200603-182044.zip,ba37917bee7d0fe477b372b5f3b87c3e,1121447745
wayne/ten/PixysOS-v3.0.3-GAPPS-wayne-OFFICIAL-20200408-190949.zip,62c1ea75fbc8788fc92507a99d6d1aa7,1006799322
jasmine_sprout/ten/PixysOS-v3.0.3-GAPPS-jasmine_sprout-OFFICIAL-20200408-175417.zip,33337b19a8163e8778fe72771bd9a339,964994575
jasmine_sprout/ten/PixysOS-v3.0.3-jasmine_sprout-OFFICIAL-20200309-222341.zip,7285c2a32a0fe8c25e1af98272c5e573,714017825
wayne/ten/PixysOS-v3.0.3-wayne-OFFICIAL-20200309-214110.zip,fb53d800c88f4a242c8fb6c6638b299d,728000580
wayne/ten/PixysOS-v3.0.3-GAPPS-wayne-OFFICIAL-20200309-173218.zip,39967e882e932af4c157ead0221faf85,1023816886
mido/ten/PixysOS-v3.02-GAPPS-mido-OFFICIAL-20200129-150637.zip,0bf6deb5c8ec44294b0e15b84551674a,844874835
mido/ten/PixysOS-v3.02-mido-OFFICIAL-20200129-142049.zip,20bae10325cfdb025ea1fd2907e0d71e,546864518
riva/ten/PixysOS-v3.02-riva-OFFICIAL-20200127-093459.zip,f018f5d2232c9b10277ed1b8abdd8974,545149281
riva/ten/PixysOS-v3.02-GAPPS-riva-OFFICIAL-20200127-082123.zip,9bd886f4ebdba98297ed0f8eaf0d5f17,843169200
X00TD/pie/PixysOS-v2.4-X00TD-OFFICIAL-20190828-183145.zip,ac0aa9da0e2a4934ede715c63dda8693,663348715
X00TD/pie/PixysOS-v2.4-X00TD-OFFICIAL-20190823-071821.zip,865d5191f375121d1b35c078beec7cce,662858479
vince/pie/PixysOS-v2.4-vince-OFFICIAL-20190717-223114.zip,446eac29471580426475c7d835adde9b,615268171
rolex/pie/PixysOS-v2.4-rolex-OFFICIAL-20190717-195329.zip,edc113531f53eb4a40a7c33d2a493d6a,549547846
mido/pie/PixysOS-v2.4-mido-OFFICIAL-20190717-192709.zip,25dd80115a35e5f98cdd6107254f13ec,539983116
markw/pie/PixysOS-v2.4-markw-OFFICIAL-20190717-184815.zip,adb59888ff63de50e9084ea1eafd9156,555379399
evert/pie/PixysOS-v2.4-evert-OFFICIAL-20190717-180516.zip,7e63d5cb1ddaa36e2ae6a3ce07844c00,592606223
vince/pie/PixysOS-v2.4-vince-OFFICIAL-20190711-102326.zip,f771b6f925ed4f8a311745f1327942bb,615178772
rolex/pie/PixysOS-v2.4-rolex-OFFICIAL-20190711-081407.zip,32533c109f32ee456836eda71fe0f299,549307380
mido/pie/PixysOS-v2.4-mido-OFFICIAL-20190711-074427.zip,1c6655410dcc9c3f3c0bded7eae98f49,540016465
markw/pie/PixysOS-v2.4-markw-OFFICIAL-20190710-221426.zip,ee583618f49f387830e83ef9009d2832,555516511
evert/pie/PixysOS-v2.4-evert-OFFICIAL-20190710-204204.zip,4ec3fe623bad18a35d86ea0c70e51493,592610578
